Tanggal,SMA_10,WMA_10,Momentum_10,Stoch_K%_10,Stoch_D%_10,RSI_10,MACD,Williams_R%_10,AD_Oscillator,CCI_10
2021-08-13,3200.682,3210.2105454545454,2.9400000000000546,96.92311707291611,55.37449439994322,50.17891482680559,-55.10346486692652,3.076882927083869,0.2070516591121418,37.71932308713033
2021-08-12,3181.173,3181.6520000000005,-195.0899999999997,24.158358995772275,53.36968337558036,40.43348207718335,-66.58004850346242,75.84164100422772,-0.337935903973638,-78.92587328025502
2021-08-11,3175.143,3178.4678181818185,-60.30000000000018,55.488282269429504,53.68230351294667,47.31990470772293,-65.23628869159165,44.511717730570496,1.5377133918247985,12.63759230876331
2021-08-10,3160.793,3172.2072727272725,-143.5,49.498930006785365,51.50097678663268,43.403269404041694,-65.27082116158954,50.50106999321464,0.392467562291883,-17.201803731129843
2021-08-09,3158.6040000000003,3172.595818181818,-21.890000000000327,60.62117798519473,52.17386433695437,48.91686211639896,-62.78151388125616,39.37882201480527,0.1545168067226892,-72.73828632760838
2021-08-08,3158.12,3145.9532727272726,-4.839999999999691,25.93912363786849,53.21563003972987,49.756401997100994,-72.15015901625156,74.0608763621315,0.1070217309383241,-108.72516498827332
2021-08-07,3172.4620000000004,3145.931454545455,143.42000000000007,62.23641350934342,57.94202835376332,56.30672623654402,-67.02690196798585,37.76358649065658,0.5218096372782621,-86.02510697117106
2021-08-06,3146.6400000000003,3094.4710909090904,-258.22000000000025,27.125875751236816,56.0217397330248,39.85414996778094,-83.67350226386952,72.87412424876318,-0.9582917762263132,-190.7994883046158
2021-08-05,3098.474,3036.392909090909,-481.6599999999999,36.94943827292512,51.28485359660554,29.4783305213286,-100.72558509097053,63.050561727074886,-0.1502068252326786,-194.2708695618571
2021-08-04,3044.534,2968.5412727272724,-539.4000000000001,30.49953027684668,46.94402477783185,28.09596517445256,-121.06797949863083,69.50046972315332,-0.1997435391595976,-151.60916511544227
2021-08-03,2962.956,2870.744181818182,-815.7799999999997,7.420438965797589,37.99375696712,20.701346090304384,-153.06742834225497,92.5795610342024,-0.5047864902656777,-138.88068940646437
2021-08-02,2919.399,2806.214,-435.57000000000016,19.721915531235997,37.550112620666376,32.07161967483019,-168.3057722699691,80.278084468764,1.0453643697923565,-90.46480940148696
