Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,SMA_10,WMA_10,Momentum_10,Lowest_10,Highest_10,Stoch_K%_10,Stoch_D%_10,Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI_10,MACD,Williams_R%_10,AD_Oscillator,Typical_Price,SMA_Typical,Mean_Deviation,CCI_10
2023-12-02,2164.79,2087.21,2179.73,2086.29,"344,20K","3,72%",2276.0280000000002,2253.629090909091,-38.69999999999982,2086.29,2401.34,24.916679892080605,54.75923961646082,-28.0,0.0,28.0,22.653000000000066,26.523000000000046,0.8540889039701401,46.065153733528575,-10.981742108260278,75.08332010791939,-0.1397688356164377,2143.6033333333335,2272.4253333333336,60.59173333333342,-141.737706793886
2023-12-01,2087.21,2051.59,2109.32,2045.39,"402,51K","1,74%",2262.215,2219.298545454545,-138.1300000000001,2045.39,2401.34,11.748841129372083,51.52474280165186,-77.57999999999993,0.0,77.57999999999993,20.46800000000003,34.28100000000004,0.597065429829935,37.385157719775705,-23.254148903822625,88.25115887062792,-0.8676677616142616,2080.64,2255.672,75.29933333333342,-154.96551540960962
2023-11-30,2051.56,2028.99,2054.33,2021.44,"252,49K","1,11%",2232.145,2180.9976363636365,-300.7000000000003,2021.44,2401.34,7.928402211108156,43.27651955386598,-35.65000000000009,0.0,35.65000000000009,7.776000000000022,37.846000000000046,0.20546424985467454,17.04440839945643,-35.44815253107117,92.07159778889185,-0.9996959562177026,2042.4433333333334,2224.816,89.26013333333341,-136.21061636076894
2023-11-29,2028.99,2048.47,2071.36,2020.31,"269,97K","-0,95%",2200.989,2144.060363636364,-311.5600000000002,2020.31,2389.36,2.351984825904365,35.69620847773858,-22.569999999999936,0.0,22.569999999999936,7.776000000000022,38.93200000000004,0.19973286756395806,16.648111672518652,-46.398347366880444,97.64801517409563,0.387855044074439,2040.22,2193.029666666667,94.39300000000003,-107.92443413294541
2023-11-28,2048.47,2027.51,2074.79,1996.19,"312,94K","1,03%",2169.994,2116.3296363636364,-309.9500000000003,1996.19,2381.65,13.563015617703456,28.752514000375562,19.47999999999979,19.47999999999979,0.0,7.937000000000012,38.93200000000004,0.2038682831603823,16.934434274253775,-52.89484363576912,86.43698438229654,0.5826972010178118,2039.8166666666666,2160.722666666667,91.37800000000001,-88.209415833133
2023-11-27,2027.51,2062.3,2071.13,1987.43,"354,28K","-1,70%",2137.165,2090.4234545454547,-328.2900000000002,1987.43,2310.2,12.417510921089308,21.798043759256778,-20.95999999999981,0.0,20.95999999999981,7.937000000000012,40.766000000000034,0.19469656085953993,16.29673736730797,-59.05392369104402,87.5824890789107,0.270728793309442,2028.6900000000003,2131.523,85.16099999999999,-80.5008552428145
2023-11-26,2062.64,2082.91,2092.8,2038.28,"259,79K","-0,98%",2120.084,2076.8734545454545,-170.80999999999995,1987.43,2302.29,23.886806834783663,20.83662344063589,35.12999999999988,35.12999999999988,0.0,11.45,28.530999999999995,0.4013178647786618,28.63860333658488,-60.40404141308454,76.11319316521634,1.1975421863536306,2064.5733333333333,2112.420333333333,75.62773333333328,-42.177649116373345
2023-11-25,2083.09,2080.63,2089.64,2065.17,"154,35K","0,12%",2099.059,2070.147272727273,-210.25,1987.43,2272.26,33.58494540603168,18.47285394986899,20.450000000000273,20.450000000000273,0.0,7.505999999999995,28.530999999999995,0.2630822613998807,20.82859283514165,-59.14212177749778,66.41505459396832,1.103391908459347,2079.2999999999997,2094.130666666667,56.64626666666679,-17.454126622839695
2023-11-24,2080.62,2061.92,2129.2,2059.23,"460,97K","0,91%",2082.767,2066.794727272727,-162.92000000000007,1987.43,2215.46,40.86742972415903,18.809844476449747,-2.4700000000002547,0.0,2.4700000000002547,7.505999999999995,23.798000000000002,0.3154046558534328,23.977766419626874,-57.676491045598596,59.13257027584097,0.6589967128769445,2089.6833333333334,2079.5246666666667,36.420933333333345,18.594922822162165
2023-11-23,2061.92,2063.05,2088.2,2040.66,"264,01K","-0,06%",2069.68,2063.0043636363635,-130.8699999999999,1987.43,2179.73,38.73634945397818,21.000196601621052,-18.699999999999818,0.0,18.699999999999818,7.505999999999995,20.592999999999982,0.3644927888117322,26.71269440193602,-57.36266080213818,61.26365054602183,0.1594446781657545,2063.5933333333332,2067.2563333333337,24.840266666666707,-9.830812336959506
2023-11-22,2063.05,1934.62,2090.01,1930.66,"506,35K","6,64%",2059.506,2061.798909090909,-101.73999999999978,1930.66,2129.2,66.68177697189496,25.176706309602487,1.1300000000001091,1.1300000000001091,0.0,7.619000000000005,17.792999999999985,0.4282021019502058,29.981898315756368,-56.37293441991551,33.318223028105024,0.17627863194226623,2027.9066666666668,2055.6866666666665,19.871333333333247,-93.1995839903374
2023-11-21,1934.62,2021.49,2034.51,1932.5,"527,41K","-4,30%",2044.247,2039.0923636363636,-152.59000000000015,1930.66,2129.2,1.9945602901177666,24.201278225677054,-128.4300000000003,0.0,128.4300000000003,7.619000000000005,22.87800000000002,0.33302736253168974,24.982785191986096,-65.20020936922947,98.00543970988224,-0.2797764925007371,1967.21,2044.3436666666664,23.95506666666654,-214.66208030219576
2023-11-20,2021.49,2011.02,2064.05,1994.89,"455,23K","0,52%",2041.2399999999998,2034.9547272727275,-30.069999999999936,1930.66,2129.2,45.748967462476095,27.98333475081385,86.87000000000012,86.87000000000012,0.0,16.30600000000002,19.31300000000001,0.8443017656500809,45.77893820713666,-64.44334262730445,54.251032537523905,1.8714574898785445,2026.8100000000002,2042.7803333333334,25.20573333333325,-42.239948935779836
2023-11-19,2011.01,1961.72,2014.93,1943.63,"269,02K","2,51%",2039.4419999999998,2029.458363636364,-17.980000000000018,1930.66,2129.2,40.4704341694369,31.795179685167103,-10.480000000000018,0.0,10.480000000000018,16.30600000000002,18.10400000000002,0.9006849315068494,47.38738738738739,-63.951970192722,59.5295658305631,-0.09200561009817601,1989.8566666666668,2037.744,29.64933333333322,-107.6748961940309
2023-11-18,1961.72,1960.8,1971.02,1920.13,"298,88K","0,05%",2030.7669999999998,2015.3270909090907,-86.74999999999977,1920.13,2129.2,19.892858851102492,32.42816400850701,-49.289999999999964,0.0,49.289999999999964,14.358000000000038,23.033000000000015,0.623366474189208,38.399614880586284,-66.77016022041062,80.10714114889751,-0.7858125368441758,1950.9566666666667,2028.8580000000002,36.34359999999983,-142.89784782526374
2023-11-17,1960.8,1961.77,1990.24,1908.24,"430,92K","-0,05%",2024.096,2002.605818181818,-66.71000000000004,1908.24,2129.2,23.787110789283126,33.56512399532639,-0.9200000000000728,0.0,0.9200000000000728,14.358000000000038,21.029000000000043,0.6827714109087455,40.574222171984076,-68.29062066694314,76.21288921071687,0.34780487804878024,1953.0933333333332,2021.2983333333334,44.8153333333333,-101.4608095443527
2023-11-16,1961.76,2058.93,2089.44,1940.44,"585,12K","-4,72%",2014.0080000000003,1991.272,-100.87999999999988,1908.24,2129.2,24.221578566256348,33.59860116847366,0.9600000000000364,0.9600000000000364,0.0,10.941000000000054,21.029000000000043,0.5202815160017135,34.22270878949021,-68.62704271859184,75.77842143374365,0.8633557046979873,1997.2133333333334,2014.5623333333333,42.89633333333332,-26.96267746272011
2023-11-15,2058.93,1979.4,2060.95,1967.97,"455,57K","4,03%",2011.592,1999.4396363636363,-24.16000000000031,1908.24,2129.2,68.1978638667632,37.05989301454681,97.16999999999985,97.16999999999985,0.0,18.61300000000001,21.029000000000043,0.8851110371391875,46.952726905806934,-60.35709369673668,31.802136133236804,1.0667885566788562,2029.2833333333335,2009.560666666667,37.894666666666694,34.69734820496559
2023-11-14,1979.1,2054.15,2064.51,1943.01,"521,22K","-3,66%",2001.44,1993.532,-101.51999999999998,1908.24,2090.01,38.98333058260429,36.87148310039133,-79.82999999999993,0.0,79.82999999999993,18.61300000000001,28.765000000000008,0.647071093342604,39.28616657520369,-59.55816390814152,61.01666941739571,0.045925925925928986,1995.5400000000002,2000.1463333333334,29.40160000000001,-10.444631887001993
2023-11-13,2054.18,2044.61,2115.24,2031.01,"578,44K","0,47%",2000.666,2003.1210909090908,-7.7400000000002365,1908.24,2115.24,70.5024154589372,40.04808970088724,75.07999999999993,75.07999999999993,0.0,26.121000000000002,26.895000000000028,0.9712214166201887,49.27003168854683,-52.26420850216891,29.49758454106281,1.616288733230443,2066.81,2000.468,29.787600000000065,148.4778901287778
2023-11-12,2044.61,2053.4,2065.35,2020.76,"354,64K","-0,43%",1998.8220000000001,2011.1109090909092,-18.440000000000282,1908.24,2115.24,65.87922705314013,39.967834709011754,-9.569999999999936,0.0,9.569999999999936,26.007999999999992,27.85200000000002,0.9337929053568854,48.288154474563655,-46.7173863635619,34.12077294685989,0.25050459744337505,2043.573333333333,2002.034666666667,31.667600000000014,87.4472471688542
2023-11-11,2053.42,2077.72,2089.24,2033.56,"405,96K","-1,17%",2010.7019999999998,2021.0378181818182,118.80000000000018,1908.24,2115.24,70.1352657004832,46.7819052500483,8.810000000000173,8.810000000000173,0.0,26.88900000000001,15.008999999999991,1.7915250849490323,64.17728769869686,-41.136401652533095,29.864734299516797,0.8015445402298853,2058.74,2011.1876666666667,33.855666666666615,93.63736909297934
2023-11-10,2077.78,2120.16,2135.91,2068.79,"640,31K","-2,00%",2016.3310000000001,2033.2338181818182,56.29000000000019,1908.24,2135.91,74.46743093073322,49.65375159687401,24.360000000000127,24.360000000000127,0.0,20.638000000000012,15.008999999999991,1.3750416416816593,57.89547507504141,-34.351796518222045,25.532569069266785,1.2289928486293193,2094.16,2017.9226666666666,40.590666666666586,125.2132400442358
2023-11-09,2120.16,1888.42,2131.31,1882.91,"1,21M","12,22%",2027.2460000000003,2052.111818181818,109.14999999999986,1882.91,2135.91,93.77470355731225,54.98417853566154,42.379999999999654,42.379999999999654,0.0,24.875999999999976,13.96099999999999,1.7818207864766131,64.0523212400546,-25.264008489707976,6.225296442687752,0.21549919484702001,2044.7933333333333,2023.4163333333333,39.37239999999993,36.19625253561715
2023-11-08,1889.29,1885.95,1903.67,1873.47,"265,08K","0,18%",2020.003,2027.028909090909,-72.43000000000006,1873.47,2135.91,6.02804450541074,53.59769710109238,-230.8699999999999,0.0,230.8699999999999,24.875999999999976,32.118999999999986,0.7744948472866524,43.64593385384682,-36.27301777232856,93.97195549458925,-7.168543046357598,1888.8100000000002,2017.2016666666664,46.829999999999835,-182.77694735093837
2023-11-07,1885.97,1900.98,1906.55,1852.05,"370,10K","-0,79%",2012.52,2002.6592727272725,-74.82999999999993,1852.05,2135.91,11.949552596350344,52.41394128179909,-3.3199999999999363,0.0,3.3199999999999363,24.875999999999976,32.358999999999966,0.7687505794369419,43.4629160478728,-44.74978552626385,88.05044740364966,0.3166972477064218,1881.5233333333333,2010.0446666666667,55.418399999999814,-154.6072944886341
2023-11-06,1900.98,1891.81,1913.13,1870.0,"359,00K","0,46%",2006.4419999999998,1982.3792727272726,-60.77999999999997,1852.05,2135.91,17.23737053477069,51.715520478650525,15.009999999999991,15.009999999999991,0.0,26.28099999999997,32.358999999999966,0.8121697209431687,44.8175306957708,-49.68377980041532,82.76262946522931,0.6297240899605846,1894.7033333333336,1999.793666666667,67.71959999999983,-103.45634383874446
2023-11-05,1892.36,1855.72,1911.0,1846.57,"418,91K","1,97%",1989.7849999999999,1961.637090909091,-166.56999999999994,1846.57,2135.91,15.825672219534104,46.478301313927616,-8.620000000000118,0.0,8.620000000000118,16.563999999999986,33.22099999999998,0.4986002829535533,33.27106558200259,-53.67088323685425,84.1743277804659,0.15551761601738276,1883.3099999999997,1985.1963333333329,78.48773333333318,-86.54119483072799
2023-11-04,1855.72,1832.31,1868.52,1824.4,"190,18K","1,28%",1977.4470000000001,1937.2616363636364,-123.37999999999988,1824.4,2135.91,10.054251869923906,43.58539344265958,-36.63999999999987,0.0,36.63999999999987,16.563999999999986,28.901999999999976,0.5731091273960279,36.431619231953555,-59.10589723136491,89.9457481300761,-0.5403445149592017,1849.5466666666669,1970.5970000000002,91.01833333333323,-88.66370023133324
2023-11-03,1832.29,1800.28,1834.16,1779.79,"337,00K","1,78%",1955.2579999999998,1910.8694545454546,-221.88999999999987,1779.79,2135.91,14.742221723014717,38.009374069067334,-23.430000000000064,0.0,23.430000000000064,9.055999999999994,31.244999999999983,0.28983837413986235,22.47090642912086,-64.55958742955568,85.25777827698529,-0.3965422107780007,1815.4133333333332,1945.4573333333333,91.88746666666657,-94.35019066800568
2023-11-02,1800.27,1846.6,1873.02,1789.0,"398,43K","-2,51%",1930.8239999999998,1882.6898181818183,-244.33999999999992,1779.79,2135.91,5.750870493092223,31.996538413062535,-32.01999999999998,0.0,32.01999999999998,9.055999999999994,33.48999999999999,0.27040907733651826,21.2851971983265,-70.65100183065056,94.24912950690778,0.48476553201618694,1820.7633333333333,1923.1763333333333,85.63286666666662,-79.7302904725834
2023-11-01,1846.6,1815.12,1857.0,1783.98,"509,01K","1,73%",1910.1420000000003,1867.3763636363637,-206.82000000000016,1779.79,2135.91,18.760530158373573,26.859064858851575,46.32999999999993,46.32999999999993,0.0,12.80799999999997,33.48999999999999,0.38244252015526947,27.664261955160015,-70.92249742318154,81.23946984162643,0.7769104354971245,1829.1933333333334,1900.2216666666668,67.70200000000004,-69.94213202301594
2023-10-31,1815.13,1809.05,1819.43,1783.32,"279,11K","0,34%",1883.8769999999997,1850.1014545454545,-262.6500000000001,1779.79,2131.31,10.053482020937684,20.417669967872023,-31.4699999999998,0.0,31.4699999999998,10.371999999999957,36.636999999999965,0.28310178235117417,22.063860111893405,-72.83740140680925,89.9465179790623,-0.7524231514815771,1805.96,1871.4016666666666,47.22633333333333,-92.38019278321644
